"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","적령 아동-남","적령 아동-여","적령 아동-합계","적령 아동-비율","유예 및 과령 아동-남","유예 및 과령 아동-여","유예 및 과령 아동-합계","유예 및 과령 아동-비율","조기입학아동-남","조기입학아동-여","조기입학아동-합계","조기입학아동-비율","계-남","계-여","합계","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","외국학교수학자-남(2020년 이전)","외국학교수학자-여(2020년 이전)","외국학교수학자-합계(2020년 이전)","외국학교수학자-비율(2020년 이전)","기 타-남","기 타-여","기 타-합계","기 타-비율","소계-남(2020년 이전)","소계-여(2020년 이전)","소계-합계(A)(2020년 이전)","소계-비율(2020년 이전)","정원외 입학자-남(2020년 이전)","정원외 입학자-여(2020년 이전)","정원외 입학자-합계(2020년 이전)","정원외 입학자-비율(2020년 이전)","재입?편입학자-남(2020년 이전)","재입?편입학자-여(2020년 이전)","재입?편입학자-합계(2020년 이전)","재입?편입학자-비율(2020년 이전)","소계-남(2020년 이전)","소계-여(2020년 이전)","소계-합계(B)(2020년 이전)","소계-비율(2020년 이전)","합계-남","합계-여","합계(2020년 이전 : A+B)","시각장애-남","시각장애-여","시각장애-합계","시각장애-비율","청각장애-남","청각장애-여","청각장애-합계","청각장애-비율","정신지체-남","정신지체-여","정신지체-합계","정신지체-비율","지체장애-남","지체장애-여","지체장애-합계","지체장애-비율","정서?행동장애-남","정서?행동장애-여","정서?행동장애-합계","정서?행동장애-비율","자폐성장애-남","자폐성장애-여","자폐성장애-합계","자폐성장애-비율","의사소통장애-남","의사소통장애-여","의사소통장애-합계","의사소통장애-비율","학습장애-남","학습장애-여","학습장애-합계","학습장애-비율","건강장애-남","건강장애-여","건강장애-합계","건강장애-비율","발달지체-남","발달지체-여","발달지체-합계","발달지체-비율","기타-비율","합계-남","합계-여","공시연도"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 서초구","1165010800","01","S000003511","서울교육대학교부설초등학교","02","국립","N","","46","","93","  96.9","1","","1","   1.0","1","1","2","   2.1","48","48","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 종로구","1111016800","01","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","49","","97","  98.0","0","","0","   0.0","1","1","2","   2.0","50","49","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000738","서울개일초등학교","02","공립","N","","82","","144","  99.3","0","","0","   0.0","0","1","1","   0.7","82","63","145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000741","서울구룡초등학교","02","공립","N","","59","","120","  99.2","0","","0","   0.0","0","1","1","   0.8","59","62","121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000742","서울논현초등학교","02","공립","N","","20","","53"," 100.0","0","","0","   0.0","0","0","0","   0.0","20","33","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000743","서울대곡초등학교","02","공립","N","","64","","115"," 100.0","0","","0","   0.0","0","0","0","   0.0","64","51","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000744","서울대도초등학교","02","공립","N","","136","","260"," 100.0","0","","0","   0.0","0","0","0","   0.0","136","124","260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000745","서울대모초등학교","02","공립","N","","78","","135"," 100.0","0","","0","   0.0","0","0","0","   0.0","78","57","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011100","01","S010000746","서울대왕초등학교","02","공립","N","","48","","96","  99.0","0","","0","   0.0","0","1","1","   1.0","48","49","97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000747","서울대진초등학교","02","공립","N","","21","","43"," 100.0","0","","0","   0.0","0","0","0","   0.0","21","22","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
